respondent_id,age_group,gender,region,education_level,employment_status,income_band,weekly_behaviour_frequency,monthly_spend,previous_action_attempts,engagement_minutes_monthly,awareness_score,trust_score,confidence_score,change_intention_score,perceived_social_norm_score,service_satisfaction_score,motivation_health,motivation_financial,motivation_social,motivation_convenience,barrier_cost,barrier_time,barrier_habit,barrier_low_confidence,barrier_information,used_digital_tool,sought_support,recent_positive_action,would_recommend_service,preferred_information_channel,preferred_support_type,open_feedback,synthetic_true_segment,survey_weight_seed
R00473,30-44,Female,North,Secondary,Self-employed,High,3,97.44,2,56,5,2,5,,,2,3,5,5,5,3,2,3,2,3,Yes,No,No,No,Email,Group support,,Engaged and Confident,
R00474,60+,Female,North,Postgraduate,Self-employed,Lower-middle,5,93.49,1,61,4,2,3,1,3,3,3,2,2,1,5,4,5,5,4,Yes,No,Yes,,Email,,Digital tools are convenient.,Habit-Driven and Resistant,0.9536
R00475,30-44,Female,Central,Secondary,Retired,Low,6,127.5,1,57,3,4,2,3,2,4,3,3,3,3,4,2,2,2,2,No,Yes,,Yes,,One-to-one support,,Interested but Uncertain,0.8648
R00476,60+,Male,South,Undergraduate,Employed,Low,5,80.06,4,50,5,4,5,4,4,1,5,5,3,5,1,2,2,2,,Yes,Yes,No,No,Search engine,No support,I prefer flexible support that fits my routine.,Ready for Change,0.6594
R00477,45-59,Male,West,Secondary,Employed,Prefer not to say,7,126.46,0,33,2,2,1,1,,4,3,2,2,2,5,3,5,5,,Yes,Yes,No,Yes,Search engine,One-to-one support,I prefer flexible support that fits my routine.,Habit-Driven and Resistant,1.2688
R00478,60+,Male,North,Postgraduate,Self-employed,Low,2,64.66,1,37,5,3,4,4,5,3,4,4,3,3,,2,2,1,1,Yes,Yes,No,No,Search engine,Digital coaching,Personal advice would be useful.,Engaged and Confident,
R00479,30-44,Male,,Postgraduate,Retired,Upper-middle,5,70.44,2,75,3,3,2,4,3,2,3,3,3,4,3,3,3,5,2,Yes,Yes,No,No,Social media,Group support,,Interested but Uncertain,1.0499
R00480,30-44,Male,East,Secondary,Self-employed,Prefer not to say,3,50.69,2,25,4,4,5,3,4,4,5,2,4,3,1,2,2,1,1,Yes,Yes,No,Yes,Community organisation,Self-guided tools,I need more confidence before taking action.,Engaged and Confident,0.8738
R00481,30-44,Male,South,Secondary,Student,Upper-middle,7,,1,,3,4,3,3,3,2,3,1,4,4,2,4,3,3,1,Yes,Yes,No,No,Community organisation,No support,I prefer flexible support that fits my routine.,Interested but Uncertain,0.7894
R00482,30-44,Male,East,Postgraduate,Employed,Upper-middle,3,80.27,1,53,4,5,4,5,5,3,4,5,5,5,2,2,2,3,1,Yes,Yes,Yes,Yes,Social media,No support,Cost is the main issue for me.,Ready for Change,0.9627
R00483,30-44,Male,Central,Vocational,Retired,Low,6,116.72,2,56,4,3,2,3,3,4,4,3,4,5,1,3,4,4,2,Yes,Yes,No,Yes,Community organisation,Digital coaching,I need more confidence before taking action.,Interested but Uncertain,0.9803
R00484,60+,Male,West,Undergraduate,Employed,High,4,47.36,3,44,3,5,3,3,3,4,3,4,1,3,2,2,3,2,1,Yes,Yes,No,Yes,Social media,,Personal advice would be useful.,Engaged and Confident,0.926
R00485,60+,Female,Central,Undergraduate,Employed,High,6,116.12,0,82,4,2,2,2,2,3,2,3,1,1,4,5,4,3,3,,Yes,No,No,Healthcare professional,Self-guided tools,Personal advice would be useful.,Habit-Driven and Resistant,0.9192
R00486,30-44,Female,West,Undergraduate,Retired,Lower-middle,4,82.64,4,69,3,5,4,3,4,3,5,5,4,3,2,1,2,1,3,Yes,Yes,No,No,Search engine,No support,I need more confidence before taking action.,Engaged and Confident,1.1646
R00487,18-29,Female,Central,Vocational,Retired,Lower-middle,5,110.35,0,43,3,4,1,2,2,3,4,4,3,5,3,1,3,4,3,No,Yes,No,No,Search engine,Digital coaching,Cost is the main issue for me.,Interested but Uncertain,1.1291
R00488,60+,Female,East,Undergraduate,Employed,Lower-middle,7,104.2,1,34,2,2,1,3,1,3,3,1,3,2,3,4,4,4,3,No,No,No,No,Email,Digital coaching,I need more confidence before taking action.,Habit-Driven and Resistant,0.9441
R00489,18-29,Male,West,Undergraduate,Retired,Prefer not to say,4,72.42,4,31,4,5,3,5,4,,5,5,4,4,2,1,3,3,2,Yes,Yes,Yes,No,Search engine,One-to-one support,,Ready for Change,0.9122
R00490,18-29,Male,Central,Undergraduate,Employed,Lower-middle,3,74.59,3,41,4,3,2,4,4,2,4,5,3,2,2,2,4,4,4,Yes,Yes,No,Yes,Friends or family,Digital coaching,,Interested but Uncertain,0.9921
R00491,18-29,Male,West,Vocational,Employed,Upper-middle,4,128.63,2,47,2,3,2,2,1,4,2,1,2,2,5,5,5,4,2,No,No,Yes,No,Community organisation,Self-guided tools,Cost is the main issue for me.,Habit-Driven and Resistant,0.8405
R00492,30-44,Male,East,Vocational,Employed,Upper-middle,2,94.09,1,60,4,3,3,4,5,4,4,3,5,4,1,2,3,2,1,No,Yes,Yes,Yes,Social media,One-to-one support,I am satisfied with the available options.,Engaged and Confident,1.1266
R00493,18-29,Male,West,Secondary,Retired,Upper-middle,3,95.5,0,67,5,4,5,4,4,3,4,4,3,2,2,2,3,3,2,Yes,Yes,No,No,Community organisation,Digital coaching,I prefer flexible support that fits my routine.,Engaged and Confident,1.1004
R00494,18-29,Male,Central,Postgraduate,Employed,Lower-middle,3,117.64,1,59,4,4,2,2,4,4,5,,2,3,5,3,4,4,3,Yes,Yes,No,No,Healthcare professional,No support,I prefer flexible support that fits my routine.,Interested but Uncertain,1.218
R00495,30-44,Male,North,Undergraduate,Employed,Upper-middle,5,109.02,0,32,3,2,3,2,2,3,4,3,1,2,5,4,4,5,4,Yes,Yes,No,No,Healthcare professional,Self-guided tools,Cost is the main issue for me.,Habit-Driven and Resistant,1.0009
R00496,45-59,Male,South,Undergraduate,Employed,Upper-middle,5,101.57,2,32,3,2,2,4,3,3,4,2,5,5,3,3,2,3,4,Yes,Yes,Yes,No,Social media,Group support,Personal advice would be useful.,Interested but Uncertain,0.8381
R00497,18-29,Male,North,Postgraduate,Employed,High,5,110.38,1,29,2,3,4,2,2,3,3,1,1,1,3,5,4,3,4,No,No,No,No,Social media,Digital coaching,Clearer information would help.,Habit-Driven and Resistant,1.1663
R00498,30-44,Male,Central,Secondary,Employed,,2,63.7,2,45,3,3,2,4,3,2,4,3,3,4,3,,4,3,2,Yes,Yes,No,No,Search engine,One-to-one support,I need more confidence before taking action.,Interested but Uncertain,0.9738
R00499,45-59,Female,South,Vocational,Employed,Lower-middle,4,81.92,7,42,3,3,1,5,5,1,4,3,4,5,3,1,5,4,2,Yes,Yes,Yes,No,Friends or family,Group support,I am satisfied with the available options.,Interested but Uncertain,1.15
R00500,45-59,Female,East,Postgraduate,Unemployed,Upper-middle,6,94.18,1,40,2,2,3,1,1,3,1,3,2,1,4,3,4,4,4,Yes,Yes,No,No,Email,Group support,Cost is the main issue for me.,Habit-Driven and Resistant,1.0797
R00501,30-44,Male,North,Secondary,Employed,Lower-middle,5,85.87,2,55,4,2,3,2,3,2,2,3,1,1,5,5,5,4,5,No,No,Yes,No,Friends or family,Digital coaching,Digital tools are convenient.,Habit-Driven and Resistant,0.9694
R00502,60+,Male,West,Vocational,Employed,High,2,90.84,2,59,5,4,5,5,5,4,5,5,4,4,1,1,3,2,1,Yes,Yes,Yes,No,Friends or family,Self-guided tools,I am satisfied with the available options.,Ready for Change,0.9919
R00503,45-59,Female,West,Vocational,Retired,Upper-middle,2,,0,43,4,4,4,2,4,3,3,3,2,3,3,2,3,1,3,Yes,No,No,Yes,Friends or family,Self-guided tools,Cost is the main issue for me.,Engaged and Confident,1.1463
R00504,30-44,Male,South,Secondary,Retired,Upper-middle,1,64.87,3,60,5,5,4,4,4,,4,4,3,1,2,1,3,2,3,Yes,Yes,No,Yes,Email,No support,I need more confidence before taking action.,Engaged and Confident,0.9129
R00505,30-44,Female,West,Secondary,Employed,Low,5,105.82,1,51,3,2,2,2,2,3,2,1,1,,4,4,5,5,4,Yes,Yes,No,Yes,Search engine,One-to-one support,I prefer flexible support that fits my routine.,Habit-Driven and Resistant,1.1544
R00506,30-44,Male,Central,Undergraduate,Unemployed,Lower-middle,3,116.48,2,51,4,3,2,3,2,3,4,4,4,4,3,3,4,4,2,Yes,Yes,,No,Friends or family,Digital coaching,Clearer information would help.,Interested but Uncertain,1.1437
R00507,30-44,Male,West,Vocational,Retired,Lower-middle,2,52.13,5,,5,5,4,5,4,3,4,4,5,5,1,1,2,2,1,Yes,Yes,Yes,Yes,Email,One-to-one support,Digital tools are convenient.,Ready for Change,0.8649
R00508,45-59,Male,Central,Secondary,Employed,Lower-middle,5,134.08,1,26,3,2,2,2,3,5,3,4,4,3,4,4,3,3,2,Yes,Yes,No,Yes,Social media,,I need more confidence before taking action.,Interested but Uncertain,0.9654
R00509,30-44,Male,West,Secondary,Unemployed,High,5,,0,,4,1,1,1,3,2,2,3,3,2,4,3,5,4,,Yes,No,No,No,Social media,No support,Clearer information would help.,Habit-Driven and Resistant,1.0416
R00510,45-59,Male,South,Vocational,Employed,Lower-middle,4,96.16,2,64,4,3,,4,3,3,3,4,4,5,3,2,4,2,2,No,Yes,No,Yes,Search engine,Digital coaching,,Engaged and Confident,0.9406
R00511,18-29,Male,West,Secondary,Employed,Upper-middle,3,136.87,0,14,3,2,3,2,3,,4,3,5,4,3,2,4,4,2,,Yes,Yes,,Community organisation,No support,,Interested but Uncertain,0.968
R00512,45-59,Female,East,Vocational,Retired,Low,4,74.42,6,70,5,5,4,5,5,2,4,5,4,5,2,1,3,2,2,Yes,Yes,Yes,Yes,Social media,Digital coaching,I prefer flexible support that fits my routine.,Ready for Change,0.7507
R00513,30-44,Male,East,Secondary,Employed,Low,3,38.74,1,68,5,4,4,4,3,3,5,4,5,5,3,1,3,3,2,Yes,Yes,Yes,Yes,Social media,Digital coaching,I am satisfied with the available options.,Ready for Change,1.056
R00514,18-29,Male,North,Undergraduate,Employed,Lower-middle,4,,1,89,3,5,3,2,3,4,4,5,3,3,4,2,3,3,3,Yes,No,Yes,Yes,Healthcare professional,One-to-one support,Digital tools are convenient.,Interested but Uncertain,1.0734
R00515,30-44,Non-binary,East,Vocational,Student,Lower-middle,1,52.8,2,97,3,4,3,3,5,3,4,3,2,4,1,2,4,3,4,Yes,Yes,Yes,Yes,Email,No support,,Engaged and Confident,1.0477
R00516,30-44,Male,Central,Postgraduate,Employed,Upper-middle,3,103.02,3,66,5,2,5,5,5,2,5,4,4,5,1,2,4,3,1,Yes,No,Yes,No,Search engine,Self-guided tools,,Ready for Change,0.9027
R00517,30-44,Female,Central,Undergraduate,,Lower-middle,3,32.84,3,50,3,4,2,4,4,3,4,3,2,4,2,3,3,5,3,No,Yes,Yes,No,Healthcare professional,Self-guided tools,Cost is the main issue for me.,Interested but Uncertain,1.277
R00518,18-29,Male,Central,Secondary,Retired,High,,70.91,1,,4,3,3,3,3,2,3,4,3,4,2,2,3,3,3,Yes,,Yes,No,Email,,Personal advice would be useful.,Interested but Uncertain,1.0099
R00519,30-44,Male,East,Undergraduate,Retired,High,5,102.07,1,16,3,3,3,2,4,3,4,3,5,3,1,2,3,4,2,Yes,Yes,Yes,No,Email,Group support,I am satisfied with the available options.,Interested but Uncertain,0.7957
R00520,45-59,Female,Central,Secondary,Student,Prefer not to say,5,87.18,3,65,4,4,2,3,4,5,3,5,4,3,2,4,4,3,,No,Yes,No,Yes,Social media,Self-guided tools,I am satisfied with the available options.,Interested but Uncertain,1.2049
R00521,30-44,Male,North,Undergraduate,Employed,Lower-middle,1,96.8,2,39,4,4,,4,3,3,3,4,2,2,4,1,4,3,2,No,Yes,Yes,Yes,Email,No support,Digital tools are convenient.,Engaged and Confident,1.1179
R00522,30-44,Female,East,Secondary,Employed,Upper-middle,3,57.89,3,38,4,3,5,3,3,3,4,4,,2,1,2,1,2,1,No,No,No,No,Healthcare professional,Digital coaching,Cost is the main issue for me.,Engaged and Confident,0.9441
R00523,45-59,Male,South,Postgraduate,Employed,Lower-middle,5,122.84,1,38,3,,1,2,2,3,3,1,2,2,4,4,5,4,4,No,No,No,No,Community organisation,Group support,,Habit-Driven and Resistant,
R00524,30-44,Female,West,Postgraduate,Employed,Upper-middle,6,119.62,1,28,2,2,3,1,3,3,2,1,2,1,5,3,4,4,5,Yes,Yes,No,No,Email,One-to-one support,I prefer flexible support that fits my routine.,Habit-Driven and Resistant,1.0959
R00525,60+,Male,Central,Vocational,Employed,Lower-middle,6,155.3,1,31,3,2,3,3,5,3,4,3,4,5,3,2,3,5,3,No,Yes,No,,Search engine,Self-guided tools,Digital tools are convenient.,Interested but Uncertain,0.9813
R00526,30-44,Female,East,Undergraduate,Unemployed,,6,,0,36,1,1,1,2,2,4,3,2,2,3,5,3,4,4,3,No,No,No,No,Email,One-to-one support,I am satisfied with the available options.,Habit-Driven and Resistant,0.854
R00527,60+,Male,North,Secondary,Employed,Low,6,127.11,1,33,3,2,1,1,2,4,2,3,1,4,4,5,5,2,3,No,Yes,No,No,Healthcare professional,One-to-one support,,Habit-Driven and Resistant,1.0574
R00528,45-59,,South,Vocational,Unemployed,Upper-middle,5,101.08,2,61,3,4,2,2,2,2,4,4,2,5,3,3,3,3,1,No,No,No,No,Email,Self-guided tools,Personal advice would be useful.,Interested but Uncertain,1.1299
R00529,30-44,Female,Central,Secondary,Retired,Lower-middle,5,,5,43,3,4,3,4,1,2,4,3,3,4,3,3,3,4,,No,Yes,No,No,Healthcare professional,Self-guided tools,Personal advice would be useful.,Interested but Uncertain,0.9631
R00530,18-29,Female,South,Postgraduate,Retired,Upper-middle,3,67.27,3,101,5,4,5,3,4,4,4,4,3,3,1,5,3,1,1,Yes,Yes,Yes,Yes,Search engine,Self-guided tools,I am satisfied with the available options.,Engaged and Confident,0.9043
R00531,18-29,Female,North,Secondary,Employed,,6,,2,44,4,4,3,3,5,3,5,5,4,2,2,2,2,1,1,No,Yes,No,Yes,,Group support,Personal advice would be useful.,Engaged and Confident,1.062
R00532,45-59,Female,East,Secondary,Student,Lower-middle,6,124.83,0,28,3,2,2,1,2,,2,2,2,3,5,4,5,4,5,No,Yes,No,No,Friends or family,,Personal advice would be useful.,Habit-Driven and Resistant,0.7589
R00533,18-29,Female,Central,Secondary,Employed,Upper-middle,6,92.74,1,34,3,4,3,2,3,2,2,2,1,2,3,5,4,5,3,Yes,No,No,No,Email,Digital coaching,Digital tools are convenient.,Habit-Driven and Resistant,1.3295
R00534,18-29,Male,Central,Secondary,Retired,,6,68.41,0,50,3,3,3,2,2,2,2,3,2,1,4,5,5,4,3,Yes,No,No,No,Friends or family,No support,Clearer information would help.,Habit-Driven and Resistant,0.9653
R00535,30-44,Female,Central,Undergraduate,Retired,Lower-middle,3,42.13,0,64,3,2,3,5,2,3,4,4,4,3,2,1,2,2,1,Yes,Yes,Yes,No,Healthcare professional,One-to-one support,I need more confidence before taking action.,Engaged and Confident,1.1807
R00536,45-59,Male,West,Secondary,Employed,Lower-middle,5,100.11,1,43,3,3,3,3,3,2,2,2,1,2,5,2,5,3,4,No,No,No,Yes,Email,One-to-one support,I prefer flexible support that fits my routine.,Habit-Driven and Resistant,1.1279
R00537,30-44,Male,Central,Undergraduate,Self-employed,High,5,94.04,1,55,3,5,2,3,4,4,3,3,4,3,2,3,4,4,4,Yes,No,Yes,Yes,Search engine,Self-guided tools,Clearer information would help.,Interested but Uncertain,1.0416
R00538,30-44,Female,East,Undergraduate,Employed,Lower-middle,7,104.04,2,54,4,4,2,3,5,3,3,4,4,3,2,3,3,3,4,Yes,Yes,Yes,No,Healthcare professional,One-to-one support,Clearer information would help.,Interested but Uncertain,0.8045
R00539,30-44,Male,East,Secondary,Employed,Low,5,98.48,1,54,4,3,4,4,3,4,5,4,3,2,2,2,4,2,2,Yes,Yes,No,No,Search engine,Self-guided tools,Digital tools are convenient.,Engaged and Confident,0.9033
R00540,18-29,Female,West,Undergraduate,Unemployed,Upper-middle,7,118.51,1,6,2,1,3,1,2,5,3,3,2,2,4,3,5,4,2,No,No,Yes,No,Email,Group support,I am satisfied with the available options.,Habit-Driven and Resistant,0.9436
R00541,45-59,,South,Secondary,Employed,Low,2,45.1,0,27,2,4,4,4,4,3,4,5,3,4,2,2,4,1,1,Yes,No,Yes,No,Healthcare professional,Digital coaching,Clearer information would help.,Ready for Change,0.9672
R00542,18-29,Female,North,Undergraduate,Employed,Low,3,86.53,1,,3,3,3,3,3,2,3,4,4,3,3,3,3,4,3,Yes,Yes,No,No,Social media,Self-guided tools,Personal advice would be useful.,Interested but Uncertain,1.1062
R00543,45-59,Female,West,Undergraduate,Self-employed,Upper-middle,6,103.47,1,31,3,2,2,4,5,3,4,3,4,3,,3,3,3,3,Yes,No,Yes,No,Search engine,,Cost is the main issue for me.,Interested but Uncertain,1.0645
R00544,60+,Female,West,Vocational,,Upper-middle,5,147.76,0,31,2,4,3,3,4,4,5,4,3,2,3,1,3,5,3,No,Yes,No,No,Healthcare professional,One-to-one support,Digital tools are convenient.,Interested but Uncertain,1.1543
R00545,30-44,Female,West,Undergraduate,Student,High,4,107.58,2,38,2,4,2,3,3,3,5,4,5,3,3,3,3,4,3,Yes,Yes,No,Yes,Email,Group support,I am satisfied with the available options.,Interested but Uncertain,1.0637
R00546,30-44,Female,North,Secondary,Self-employed,Upper-middle,3,95.01,4,33,4,,3,4,3,4,4,3,4,1,2,2,3,4,3,Yes,No,Yes,Yes,Social media,Digital coaching,Cost is the main issue for me.,Interested but Uncertain,1.0861
R00547,30-44,Female,South,Vocational,Self-employed,Lower-middle,7,107.9,1,59,3,2,3,2,1,2,1,1,,2,4,5,4,4,4,No,No,No,No,Email,Self-guided tools,Personal advice would be useful.,Habit-Driven and Resistant,1.217
R00548,45-59,Female,Central,Undergraduate,Employed,Lower-middle,4,126.07,1,34,2,,3,2,2,3,4,3,3,2,5,3,4,4,,No,No,No,No,Email,No support,I need more confidence before taking action.,Habit-Driven and Resistant,0.6617
R00549,30-44,Male,East,Vocational,Student,Upper-middle,4,124.1,2,,,5,2,3,5,3,3,4,3,2,4,,3,4,3,No,No,Yes,Yes,Email,Self-guided tools,Clearer information would help.,Interested but Uncertain,1.0757
R00550,30-44,Male,West,Undergraduate,Retired,,5,146.04,1,25,2,2,1,1,1,4,3,2,1,2,4,4,4,4,3,No,Yes,No,No,Community organisation,,Digital tools are convenient.,Habit-Driven and Resistant,0.7703
R00551,30-44,Male,North,Undergraduate,Employed,Upper-middle,7,110.94,1,41,2,2,2,1,4,1,2,1,2,2,5,4,5,4,5,No,No,No,No,Healthcare professional,Group support,,Habit-Driven and Resistant,1.1722
R00552,60+,Male,North,Undergraduate,Self-employed,Low,5,92.46,3,47,4,4,1,3,4,2,5,4,4,5,3,3,3,3,2,Yes,No,No,No,Search engine,Group support,Personal advice would be useful.,Interested but Uncertain,1.1412
R00553,18-29,Male,West,Secondary,Self-employed,Upper-middle,2,91.17,3,58,4,4,4,3,5,4,3,3,4,3,2,4,3,1,2,Yes,No,No,No,Healthcare professional,One-to-one support,Personal advice would be useful.,Engaged and Confident,1.0044
R00554,18-29,Male,Central,Undergraduate,Employed,Lower-middle,3,87.0,0,69,4,4,3,5,5,3,5,4,5,3,2,2,2,2,1,Yes,Yes,Yes,Yes,Social media,Self-guided tools,Digital tools are convenient.,Ready for Change,1.0685
R00555,18-29,Male,West,Postgraduate,Retired,Upper-middle,5,79.53,1,47,4,5,4,4,3,2,3,4,4,3,2,2,2,1,1,Yes,No,No,No,Social media,Self-guided tools,Cost is the main issue for me.,Engaged and Confident,0.9362
R00556,18-29,Female,East,Vocational,Unemployed,Lower-middle,4,120.42,1,48,2,1,1,3,2,3,3,3,2,1,,4,3,5,4,No,No,No,No,Community organisation,One-to-one support,Cost is the main issue for me.,Habit-Driven and Resistant,0.9651
R00557,45-59,Female,East,Undergraduate,Retired,Upper-middle,4,96.07,2,1,3,3,1,2,3,1,1,3,1,2,5,3,5,3,4,Yes,No,No,No,Email,,Personal advice would be useful.,Habit-Driven and Resistant,0.9195
R00558,60+,Male,East,Undergraduate,Self-employed,Prefer not to say,3,117.11,3,53,4,3,2,5,3,4,4,2,4,2,3,2,3,1,2,No,Yes,Yes,Yes,Friends or family,Self-guided tools,Digital tools are convenient.,Engaged and Confident,1.3091
R00559,30-44,Male,South,Vocational,Self-employed,Upper-middle,4,84.44,2,45,3,4,,3,3,2,4,3,4,4,2,1,3,5,3,Yes,No,No,Yes,Healthcare professional,One-to-one support,Personal advice would be useful.,Interested but Uncertain,1.2182
R00560,18-29,Male,East,Secondary,Employed,Low,4,94.58,3,53,4,4,,5,5,3,4,5,4,5,1,2,3,3,1,Yes,Yes,Yes,No,Email,One-to-one support,Cost is the main issue for me.,Ready for Change,0.9832
R00561,45-59,Male,North,Secondary,Student,High,5,107.3,1,43,3,3,3,4,5,3,4,4,4,2,3,3,4,3,3,Yes,Yes,Yes,No,Healthcare professional,Digital coaching,Cost is the main issue for me.,Interested but Uncertain,0.8503
R00562,45-59,Male,North,Secondary,Unemployed,Low,5,119.03,1,24,1,2,1,1,2,3,3,3,2,1,5,4,5,4,4,No,No,No,No,Friends or family,Digital coaching,Digital tools are convenient.,Habit-Driven and Resistant,0.8431
R00563,18-29,Female,Central,Undergraduate,Retired,Lower-middle,3,95.97,4,70,4,4,2,3,2,4,3,4,3,3,4,5,3,5,2,No,,Yes,Yes,Social media,Digital coaching,Cost is the main issue for me.,Interested but Uncertain,0.906
R00564,,Male,South,Postgraduate,Retired,Prefer not to say,6,66.69,2,28,3,2,2,3,3,3,3,4,4,4,1,3,,4,2,No,No,No,Yes,Friends or family,No support,I need more confidence before taking action.,Interested but Uncertain,0.9364
R00565,30-44,Female,East,Undergraduate,Employed,Prefer not to say,5,,1,31,4,1,3,1,3,3,2,3,1,3,4,3,4,5,3,Yes,No,No,No,Healthcare professional,No support,Digital tools are convenient.,Habit-Driven and Resistant,1.0404
R00566,45-59,Male,North,Postgraduate,Employed,Upper-middle,6,124.42,0,44,3,4,2,4,4,2,3,4,5,4,4,4,3,3,2,Yes,Yes,No,No,Friends or family,Digital coaching,I am satisfied with the available options.,Interested but Uncertain,0.8274
R00567,45-59,Male,North,Vocational,Employed,Lower-middle,,128.86,4,29,2,5,4,4,4,,3,5,2,2,4,2,4,3,3,Yes,Yes,No,No,Healthcare professional,Self-guided tools,,Interested but Uncertain,1.0196
R00568,30-44,Female,West,Vocational,Employed,,4,105.76,0,45,2,2,2,,2,3,3,2,2,3,5,4,4,,4,No,Yes,No,No,Friends or family,Digital coaching,,Habit-Driven and Resistant,1.2108
R00569,18-29,Female,South,Secondary,Unemployed,Lower-middle,4,105.02,2,40,1,3,3,,,2,5,3,2,3,2,4,5,4,4,Yes,No,No,No,Healthcare professional,One-to-one support,I need more confidence before taking action.,Interested but Uncertain,1.0015
R00570,30-44,Female,West,Secondary,Retired,Upper-middle,3,114.57,1,8,1,3,2,3,1,2,3,5,3,5,4,2,4,2,3,Yes,No,Yes,Yes,Healthcare professional,One-to-one support,Cost is the main issue for me.,Interested but Uncertain,0.9934
R00571,45-59,Female,North,Secondary,Retired,Prefer not to say,7,107.94,1,49,4,3,2,2,2,3,2,2,3,2,4,5,4,4,3,No,Yes,No,No,Social media,Group support,I prefer flexible support that fits my routine.,Habit-Driven and Resistant,
R00572,30-44,Female,Central,Secondary,Employed,Lower-middle,7,128.5,1,55,2,2,3,2,1,2,2,2,1,2,4,5,5,4,5,Yes,Yes,No,No,Social media,No support,Clearer information would help.,Habit-Driven and Resistant,0.7875
R00573,18-29,Female,South,Secondary,Employed,Low,2,26.52,2,56,4,2,4,4,4,3,4,4,3,5,1,2,3,2,2,Yes,No,No,No,Email,Self-guided tools,,Engaged and Confident,0.9204
R00574,45-59,Female,Central,Undergraduate,Employed,Prefer not to say,3,60.36,1,70,5,3,4,3,3,3,5,4,3,5,2,1,3,1,2,Yes,Yes,No,No,Friends or family,No support,I need more confidence before taking action.,Engaged and Confident,1.0802
R00575,45-59,Male,North,Vocational,,Low,6,75.23,5,59,4,2,1,4,5,3,4,4,3,3,2,2,3,3,2,No,No,No,No,Email,Self-guided tools,Cost is the main issue for me.,Interested but Uncertain,0.8759
R00576,18-29,Male,West,Postgraduate,Self-employed,,5,91.73,3,64,5,4,5,4,2,2,3,4,4,4,2,1,2,2,2,Yes,Yes,No,,Email,Group support,I prefer flexible support that fits my routine.,Engaged and Confident,1.0019
R00577,30-44,Male,South,Undergraduate,Unemployed,Upper-middle,5,65.39,2,35,2,2,2,4,3,4,3,4,4,4,2,3,4,5,2,Yes,Yes,No,No,Friends or family,One-to-one support,,Interested but Uncertain,0.8471
R00578,45-59,Female,South,Undergraduate,Employed,Lower-middle,3,76.5,4,58,4,3,3,3,4,4,4,5,4,2,3,1,2,2,3,Yes,Yes,No,Yes,Search engine,Group support,,Engaged and Confident,1.1916
R00579,18-29,Male,East,Postgraduate,Retired,Upper-middle,5,67.79,1,51,3,4,4,3,3,5,5,4,5,5,2,2,3,1,1,Yes,Yes,Yes,Yes,Social media,One-to-one support,Clearer information would help.,Ready for Change,1.1988
R00580,18-29,Male,East,Undergraduate,Employed,Low,5,84.34,2,35,2,1,3,2,3,4,2,2,2,2,3,4,4,3,4,Yes,No,Yes,No,Healthcare professional,Digital coaching,I am satisfied with the available options.,Habit-Driven and Resistant,0.9747
R00581,18-29,Female,East,Undergraduate,Self-employed,Upper-middle,4,83.39,1,50,3,4,2,2,5,3,4,1,3,4,3,3,3,4,4,Yes,Yes,No,No,Friends or family,No support,Digital tools are convenient.,Interested but Uncertain,0.65
R00582,45-59,Female,Central,Vocational,Self-employed,Lower-middle,6,81.63,0,44,4,4,5,4,3,4,4,3,1,3,1,3,2,2,1,Yes,No,Yes,No,Social media,Self-guided tools,I am satisfied with the available options.,Engaged and Confident,0.771
R00583,45-59,Female,South,Vocational,Employed,Prefer not to say,2,79.88,4,59,3,4,4,4,4,3,4,3,3,3,1,2,2,1,3,No,Yes,Yes,Yes,Email,One-to-one support,Digital tools are convenient.,Engaged and Confident,1.0318
R00584,60+,Male,West,Undergraduate,Self-employed,Upper-middle,7,152.03,0,21,3,2,2,1,3,1,3,1,3,3,5,3,5,4,3,Yes,No,No,No,Friends or family,One-to-one support,,Habit-Driven and Resistant,0.8165
R00585,45-59,Male,Central,Postgraduate,Self-employed,Lower-middle,5,126.33,0,35,2,3,3,4,3,3,5,4,3,3,3,3,3,2,2,Yes,Yes,No,No,Social media,One-to-one support,I prefer flexible support that fits my routine.,Interested but Uncertain,0.8829
R00586,18-29,Male,,Postgraduate,Employed,Upper-middle,5,81.35,1,55,3,3,2,3,4,4,4,4,3,5,1,2,3,5,2,No,Yes,No,No,Search engine,Digital coaching,Digital tools are convenient.,Interested but Uncertain,1.0957
R00587,60+,Female,South,Vocational,Self-employed,High,6,95.49,2,80,4,4,2,2,5,3,4,3,3,4,2,2,4,5,3,No,Yes,No,Yes,Email,Group support,I am satisfied with the available options.,Interested but Uncertain,1.0974
R00588,18-29,Female,West,Postgraduate,Employed,,0,81.81,0,51,4,3,4,4,3,4,5,3,2,3,2,2,4,3,2,Yes,No,No,No,Search engine,One-to-one support,,Engaged and Confident,1.0095
R00589,30-44,Male,West,Vocational,Self-employed,Lower-middle,,132.2,1,55,3,2,1,2,3,1,2,3,1,2,,4,5,4,4,No,No,Yes,No,Email,Digital coaching,I am satisfied with the available options.,Habit-Driven and Resistant,0.9444
R00590,30-44,Male,East,Secondary,Student,Lower-middle,5,119.08,3,63,4,3,4,3,5,4,5,5,3,3,,2,2,1,2,Yes,No,No,No,Search engine,Self-guided tools,Digital tools are convenient.,Engaged and Confident,1.0529
